Wl[nm]		Resp.[DN/s]		Radinace[W/m2/nm/sr]		Response[DN/(s*W/m2/sr/nm)]
878.83		428700			0.07200						5954000
878.83		1252000			0.07200						17380000
878.83		984200			0.07200						13670000
912.10		1021000			0.07267						14050000
945.38		1205000			0.07439						16200000
978.66		1238000			0.07326						16900000
1011.93		1245000			0.07040						17690000
1045.20		1245000			0.06728						18510000
1078.48		1219000			0.05848						20850000
1111.76		1063000			0.04879						21780000
1145.03		886700			0.03907						22690000
1178.31		820800			0.03799						21610000
1211.58		813900			0.03870						21030000
1244.85		615600			0.04292						14340000
