Wl[nm]		Resp.[DN/s]		Radinace[W/m2/nm/sr]		Response[DN/(s*W/m2/sr/nm)]
877.59		1224000			0.07197						17010000
877.59		2072000			0.07197						29790000
877.59		2078000			0.07197						29870000
910.90		1813000			0.07254						24990000
944.20		1826000			0.07435						24560000
977.51		2057000			0.07334						28050000
1010.81		2190000			0.07036						31120000
1044.12		2215000			0.06735						32900000
1077.43		2164000			0.05878						36820000
1110.73		1882000			0.04909						38340000
1144.04		1555000			0.03925						39610000
1177.34		1393000			0.03810						36560000
1210.65		1207000			0.03844						31400000
1243.96		580200			0.04277						13560000
