Wl[nm]		Resp.[DN/s]		Radinace[W/m2/nm/sr]		Response[DN/(s*W/m2/sr/nm)]
1214.70		228200			0.03897						5857000
1214.70		1053000			0.03897						27010000
1214.70		1044000			0.03897						26790000
1247.82		732300			0.04334						16900000
1280.95		1322000			0.04421						29900000
1314.07		1328000			0.04123						32200000
1347.20		1095000			0.03373						32470000
1380.32		902400			0.02248						40140000
1413.44		789300			0.01914						41230000
1446.57		756900			0.01793						42210000
1479.69		747600			0.01928						38770000
1512.82		698200			0.02024						34500000
1545.94		545700			0.01919						28440000
1579.06		357100			0.01750						20410000
