6.750000000000000000e+02 4.775057167353733562e-02
6.900000000000000000e+02 4.457591606410230695e-02
7.050000000000000000e+02 5.306895460159045258e-02
7.200000000000000000e+02 5.563615979673501577e-02
7.350000000000000000e+02 5.727739388726071218e-02
7.500000000000000000e+02 6.834628934770159425e-02
7.650000000000000000e+02 7.027145771443263356e-02
7.800000000000000000e+02 8.089191987999699851e-02
7.950000000000000000e+02 1.031493646958148019e-01
8.100000000000000000e+02 1.031068288751052359e-01
8.250000000000000000e+02 1.080527677426223604e-01
