8.750000000000000000e+02 4.352500265716276878e-02
9.041666666999999507e+02 4.039707498110965689e-02
9.333333333000000493e+02 3.848795057087843474e-02
9.625000000000000000e+02 3.672888850953857226e-02
9.916666666999999507e+02 3.470811052504121225e-02
1.020833333000000039e+03 3.443205160939494941e-02
1.050000000000000000e+03 3.464635056638996208e-02
1.079166666999999961e+03 3.462645528363859221e-02
1.108333333000000039e+03 3.442942482310713814e-02
1.137500000000000000e+03 3.426245062025507632e-02
1.166666666999999961e+03 3.439374705585413611e-02
1.195833333000000039e+03 3.430613546287965970e-02
1.225000000000000000e+03 3.494668845573726396e-02
