116	3.241796494061997e-9
117	4.07792702465752e-8
118	4.280570067996576e-8
119	2.4760037432634734e-8
120	-2.0983173215504282e-7
121	2.6920069240056018e-6
122	2.6529927403863315e-6
123	-2.5022637163960464e-7
124	2.5107431025269255e-8
125	2.002293801918079e-8
126	2.4343124528399294e-8
127	2.1648971610843618e-8
128	1.2145437544974317e-8
129	5.870478160481101e-9
130	6.778837449206852e-8
131	7.075572006149896e-8
132	3.1262100115975016e-9
133	8.044510383550931e-8
134	7.902627287641286e-8
135	1.536613532812001e-8
136	2.591094583022956e-8
137	1.9289674364518188e-8
138	1.8691630489579777e-8
139	3.7048343217393675e-8
140	5.2455388645733754e-8
141	3.676885230763233e-8
142	2.8425365562992478e-8
143	3.318534390469794e-8
144	3.494968296789268e-8
145	3.495395595945701e-8
146	4.035333217047969e-8
147	5.1161684375541444e-8
148	5.79277713325029e-8
149	5.43919099018171e-8
150	5.435748520966675e-8
151	5.981596587612991e-8
152	7.050988538582504e-8
153	8.026828176244134e-8
154	1.1729068116996704e-7
155	1.4011632502128133e-7
156	1.3002509300111135e-7
157	1.244529012766305e-7
158	1.1619847392729858e-7
159	1.1616983028208891e-7
160	1.2219692105397013e-7
161	1.408924006256601e-7
162	1.6476304130744905e-7
163	1.8116604767324668e-7
164	1.9505400743227233e-7
165	2.888527009973895e-7
166	2.9501001456396496e-7
167	2.482730825980266e-7
168	2.8902009368700126e-7
169	3.5535208413998316e-7
170	4.451837189517692e-7
171	4.733907179079594e-7
172	4.96753785962724e-7
173	5.177656591565585e-7
174	5.746522648785557e-7
175	7.149684849356599e-7
176	8.119236706194709e-7
177	9.320504597808349e-7
178	1.092831134898615e-6
179	1.1233660982004833e-6
180	1.2579213783708722e-6
181	1.5837927373226255e-6
182	1.6833555644990407e-6
183	1.7123353792887582e-6
184	1.6458450005434982e-6
185	1.6189744922341477e-6
186	1.8816784761733506e-6
187	2.1345193188776698e-6
188	2.320425126596382e-6
189	2.5103006679345542e-6
190	2.7005569289361748e-6
191	2.8622480245239077e-6
192	3.1243954919471793e-6
193	2.755559862897696e-6
194	3.2089440286792856e-6
195	3.994658688671463e-6
196	4.087135997990886e-6
197	4.375961807654856e-6
198	4.359080368614149e-6
199	4.549522113356466e-6
200	4.947962088401627e-6
201	5.453466121548303e-6
202	5.635581747848198e-6
203	6.00229194291619e-6
204	6.860542580349285e-6
205	7.30937809827673e-6
206	7.478391879230604e-6
207	8.210320900900892e-6
208	9.342121002968607e-6
209	0.000012322686015812531
210	0.0000170404205889615
211	0.000021557420933842663
212	0.00002316706013005635
213	0.000020701754764059263
214	0.00002475021646884085
215	0.00002694642357574774
216	0.00002314662304388326
217	0.000022019698511431934
218	0.00002701188943787026
219	0.00003333510173616771
220	0.00003402582170617607
221	0.000027633479330587366
222	0.00002785250757137883
223	0.00004013571856169134
224	0.000043013716113694815
225	0.000038425437601698874
226	0.000030006117394362267
227	0.000023850766623438383
228	0.000031147362901557145
229	0.0000337598296232417
230	0.000034050400149154094
231	0.00003501979366559099
232	0.000033331572307317825
233	0.00003218075222441706
234	0.000024886849117893614
235	0.00003063338548409922
236	0.000033697572660899325
237	0.00003205851876456754
238	0.000029473232040933076
239	0.000026203560097672587
240	0.00002840170012502368
241	0.000028340087650847538
242	0.00004048769173246133
243	0.00004716884387243669
244	0.00004338055676581025
245	0.000037636146135508205
246	0.00003264434001566361
247	0.00003684954967237517
248	0.000034249658160779996
249	0.00003356832903779258
250	0.00004060229098206035
251	0.000036196502148647205
252	0.000028375692110094386
253	0.00003120011461872548
254	0.00003700947794943327
255	0.00004717465420040544
256	0.00006131435556671273
257	0.00007520873345826338
258	0.00008755782430590973
259	0.00008197367624086748
260	0.00006565032456273973
261	0.000057367607197281483
262	0.00006429917867518028
263	0.00008922580855027963
264	0.00014167373242378442
265	0.00017803031229439385
266	0.00017550536784693513
267	0.0001722584541264608
268	0.00017428416538348184
269	0.0001618770650129945
