1.225000000000000000e+03 3.494668845573726396e-02
1.254166666999999961e+03 3.601108761886325643e-02
1.283333333000000039e+03 3.688183302344259090e-02
1.312500000000000000e+03 3.774474877646959159e-02
1.341666666999999961e+03 3.923404230975888890e-02
1.370833333000000039e+03 4.034947109017977124e-02
1.400000000000000000e+03 4.124686521766701697e-02
1.429166666999999961e+03 4.248815406249303178e-02
1.458333333000000039e+03 4.370989117643307026e-02
1.487500000000000000e+03 4.480090535549181158e-02
1.516666666999999961e+03 4.619625300631718251e-02
1.545833333000000039e+03 4.757193658357621729e-02
1.575000000000000000e+03 4.908255994626975482e-02
